CUST_ID|CUST_FIRST_NAME|CUST_LAST_NAME|CUST_GENDER|CUST_YEAR_OF_BIRTH|CUST_MARITAL_STATUS|CUST_STREET_ADDRESS|CUST_POSTAL_CODE|CUST_CITY|CUST_CITY_ID|CUST_STATE_PROVINCE|CUST_STATE_PROVINCE_ID|COUNTRY_ID|CUST_MAIN_PHONE_NUMBER|CUST_INCOME_LEVEL|CUST_CREDIT_LIMIT|CUST_EMAIL|CUST_TOTAL|CUST_TOTAL_ID|CUST_SRC_ID|CUST_EFF_FROM|CUST_EFF_TO|CUST_VALID
11228|Abner|Everett|M|1956|married|57 Gloucester Drive|51430|Ingolstadt|51680|Bayern|52561|52776|630-692-5246|K: 250,000 - 299,999|7000|Everett@company.example.com|Customer total|52772||01/01/1998||I
14784|Abner|Everett|M|1957||57 North Todd Drive|46413|Belfast City|51175|Northern Ireland - County Antr|52686|52789|361-248-7857|K: 250,000 - 299,999|15000|Everett@company.example.com|Customer total|52772||01/01/1998||I
18339|Abner|Everett|M|1979|married|67 West Kaufman Avenue|66437|Asten|51075|Noord-Brabant|52682|52770|229-711-2551|K: 250,000 - 299,999|11000|Everett@company.example.com|Customer total|52772||01/01/1998||I
12112|Abner|Everett|M|1963|married|7 South 5th Circle|58488|Dolores|51391|CO|52569|52790|570-248-9913|K: 250,000 - 299,999|7000|Everett@company.example.com|Customer total|52772||01/01/1998||I
21894|Abner|Everett|M|1977|married|77 East 5th Avenue|40365|Tralee|52379|Kerry|52637|52772|166-716-4030|K: 250,000 - 299,999|7000|Everett@company.example.com|Customer total|52772||01/01/1998||I
25451|Abner|Everett|M|1955||77 South Mckenzie Avenue|57929|Heilbronn|51656|Baden-Wuerttemberg|52559|52776|650-349-6961|K: 250,000 - 299,999|15000|Everett@company.example.com|Customer total|52772||01/01/1998||I
29006|Abner|Everett|M|1951|single|87 North Braxton Avenue|63627|Keighley|51722|England - West Yorkshire|52594|52789|629-204-7324|K: 250,000 - 299,999|11000|Everett@company.example.com|Customer total|52772||01/01/1998||I
32561|Abner|Everett|M|1969|married|97 East Page Avenue|31583|Didcot|51386|England - Oxfordshire|52592|52789|513-226-7500|K: 250,000 - 299,999|7000|Everett@company.example.com|Customer total|52772||01/01/1998||I
38784|Abner|Kenney|M|1959||107 West Todd Avenue|69138|Raamsdonksveer|52157|Noord-Brabant|52682|52770|173-226-3225|K: 250,000 - 299,999|15000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
42339|Abner|Kenney|M|1964|married|117 East Kaufman Avenue|80841|Wolverhampton|52514|England - West Midlands|52593|52789|319-692-5625|K: 250,000 - 299,999|11000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
16581|Abner|Kenney|M|1986||17 East Page Court|45704|Mackville|51890|KY|52632|52790|503-692-4047|K: 250,000 - 299,999|7000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
46117|Abner|Kenney|M|1961|single|27 Covington Boulevard|40715|Ravensburg|52159|Baden-Wuerttemberg|52559|52776|411-248-7242|K: 250,000 - 299,999|15000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
49672|Abner|Kenney|M|1963|married|27 North Saguache Boulevard|81292|Nanterre|51972|Ile-de-France|52623|52779|563-711-6988|K: 250,000 - 299,999|11000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
3229|Abner|Kenney|M|1958|married|37 West Gloucester Street|33866|Bergen op Zoom|51181|Noord-Brabant|52682|52770|399-716-2429|K: 250,000 - 299,999|7000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
6784|Abner|Kenney|M|1964|single|47 Todd Road|63736|Killarney|51728|Kerry|52637|52772|681-349-2026|K: 250,000 - 299,999|15000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
10339|Abner|Kenney|M|1961|married|47 South Kaufman Road|32855|Birmingham|51192|England - West Midlands|52593|52789|556-204-9439|K: 250,000 - 299,999|11000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
13895|Abner|Kenney|M|1983|married|57 North 5th Drive|75603|Palmdale|52102|FL|52595|52790|444-226-8453|K: 250,000 - 299,999|7000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
17450|Abner|Kenney|M|1984|single|67 East Mckenzie Avenue|62145|Nuernberg|51996|Bayern|52561|52776|276-692-6066|K: 250,000 - 299,999|15000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
21006|Abner|Kenney|M|1957|single|77 Braxton Avenue|31132|Saint Marks|52279|FL|52595|52790|119-248-1644|K: 250,000 - 299,999|11000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
24562|Abner|Kenney|M|1960|married|77 North Page Avenue|72860|Koeln|51735|Nordrhein-Westfalen|52684|52776|498-711-5332|K: 250,000 - 299,999|7000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
28117|Abner|Kenney|M|1957||87 West Covington Avenue|83967|Tilburg|52369|Noord-Brabant|52682|52770|636-716-9795|K: 250,000 - 299,999|15000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
31672|Abner|Kenney|M|1950|single|97 Saguache Avenue|33415|Pala|52101|CA|52567|52790|569-349-9468|K: 250,000 - 299,999|11000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
35228|Abner|Kenney|M|1952|married|97 South Gloucester Avenue|59862|Malaga|51894|Malaga|52661|52778|537-204-8513|K: 250,000 - 299,999|7000|Kenney@company.example.com|Customer total|52772||01/01/1998||I
37006|Abner|Robbinette|M|1953|single|107 East Braxton Avenue|61189|Evinston|51459|FL|52595|52790|572-711-6909|K: 250,000 - 299,999|11000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
40561|Abner|Robbinette|M|1959|married|107 South Page Avenue|48346|Noma|51985|FL|52595|52790|159-716-9696|K: 250,000 - 299,999|7000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
44116|Abner|Robbinette|M|1956||117 North Covington Avenue|59411|Henley-on-Thames|51659|England - Oxfordshire|52592|52789|527-349-4493|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
34359|Abner|Robbinette|M|1971|married|17 North Kaufman Court|54845|Haswell|51651|CO|52569|52790|593-349-9980|K: 250,000 - 299,999|11000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
47895|Abner|Robbinette|M|1963|married|27 West 5th Boulevard|57128|Barry|51166|Wales - South Glamorgan|52764|52789|379-204-8906|K: 250,000 - 299,999|7000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
1451|Abner|Robbinette|M|1962|single|37 Mckenzie Street|68644|Schwaebisch Gmuend|52300|Baden-Wuerttemberg|52559|52776|652-226-5722|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||A
5006|Abner|Robbinette|M|1989||37 South Braxton Street|82590|Warstein|52497|Nordrhein-Westfalen|52684|52776|304-692-9126|K: 250,000 - 299,999|11000|Robbinette@company.example.com|Customer total|52772||01/01/1998||A
8561|Abner|Robbinette|M|1980|married|47 West Page Road|46413|Belfast City|51175|Northern Ireland - County Antr|52686|52789|459-248-8164|K: 250,000 - 299,999|7000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
12118|Abner|Robbinette|M|1968|single|57 East Covington Drive|67272|Cloverdale|51334|CA|52567|52790|252-711-7989|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||A
15673|Abner|Robbinette|M|1958|single|57 South Saguache Drive|67843|Arbuckle|51069|CA|52567|52790|254-716-6847|K: 250,000 - 299,999|11000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
19228|Abner|Robbinette|M|1981|married|67 North Gloucester Avenue|87340|Oxford|52041|England - Oxfordshire|52592|52789|157-349-8214|K: 250,000 - 299,999|7000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
48803|Abner|Robbinette|M|1978|single|7 South Todd Circle|55787|Montara|51919|CA|52567|52790|439-716-9572|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
22783|Abner|Robbinette|M|1961|single|77 East Todd Avenue|83124|Weston-super-Mare|52507|England - Avon|52588|52789|285-204-9202|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
26339|Abner|Robbinette|M|1958|single|87 Kaufman Avenue|59061|Sanibel|52292|FL|52595|52790|184-226-5466|K: 250,000 - 299,999|11000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
29895|Abner|Robbinette|M|1958|married|87 South 5th Avenue|50385|Wakefield|52493|England - West Yorkshire|52594|52789|355-692-1044|K: 250,000 - 299,999|7000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
33450|Abner|Robbinette|M|1982|single|97 West Mckenzie Avenue|34216|Murnau|51934|Bayern|52561|52776|104-248-2471|K: 250,000 - 299,999|15000|Robbinette@company.example.com|Customer total|52772||01/01/1998||I
37895|Abner|Rossellett|M|1955|married|107 West 5th Avenue|71750|Salthill|52287|Galway|52608|52772|606-349-8512|K: 250,000 - 299,999|7000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
41450|Abner|Rossellett|M|1964|single|117 Mckenzie Avenue|85858|Karlsruhe|51718|Baden-Wuerttemberg|52559|52776|651-204-7767|K: 250,000 - 299,999|15000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
45005|Abner|Rossellett|M|1960|single|117 South Braxton Avenue|59500|El Sobrante|51446|CA|52567|52790|290-226-3064|K: 250,000 - 299,999|11000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
7692|Abner|Rossellett|M|1967|married|17 Saguache Court|85057|Cardiff|51316|Wales - South Glamorgan|52764|52789|314-204-8900|K: 250,000 - 299,999|11000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
43247|Abner|Rossellett|M|1973|married|17 South Gloucester Court|64852|Helmond|51657|Noord-Brabant|52682|52770|680-226-9336|K: 250,000 - 299,999|7000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
48784|Abner|Rossellett|M|1962|single|27 West Todd Boulevard|74342|Lisburn|51799|Northern Ireland - County Antr|52686|52789|576-692-7085|K: 250,000 - 299,999|15000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
2340|Abner|Rossellett|M|1959|single|37 East Kaufman Street|70577|Paterna|52105|Valencia|52755|52778|660-248-8364|K: 250,000 - 299,999|11000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
5895|Abner|Rossellett|M|1955|married|47 5th Road|57579|Dingle|51389|Kerry|52637|52772|340-711-3082|K: 250,000 - 299,999|7000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
9450|Abner|Rossellett|M|1974|single|47 North Mckenzie Road|67843|Arbuckle|51069|CA|52567|52790|477-716-6896|K: 250,000 - 299,999|15000|Rossellett@company.example.com|Customer total|52772||01/01/1998||A
13006|Abner|Rossellett|M|1965|married|57 West Braxton Drive|63736|Killarney|51728|Kerry|52637|52772|613-349-1702|K: 250,000 - 299,999|11000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
16562|Abner|Rossellett|M|1976|married|67 Page Avenue|31933|Barcelona|51164|Barcelona|52560|52778|110-204-8560|K: 250,000 - 299,999|7000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
20117|Abner|Rossellett|M|1970|single|67 South Covington Avenue|41847|Edgewood|51443|KY|52632|52790|143-226-5436|K: 250,000 - 299,999|15000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
23673|Abner|Rossellett|M|1987||77 West Saguache Avenue|44581|Moerdijk|51916|Noord-Brabant|52682|52770|511-692-9507|K: 250,000 - 299,999|11000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
27228|Abner|Rossellett|M|1956|married|87 East Gloucester Avenue|55296|Clifton|51332|England - Avon|52588|52789|663-248-6591|K: 250,000 - 299,999|7000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
30783|Abner|Rossellett|M|1959||87 South Todd Avenue|72860|Koeln|51735|Nordrhein-Westfalen|52684|52776|552-711-4706|K: 250,000 - 299,999|15000|Rossellett@company.example.com|Customer total|52772||01/01/1998||I
36115|Abel|Aaron|M|1936|married|107 Corson Avenue|49682|Waddinxveen|52490|Zuid-Holland|52771|52770|692-104-2604|B: 30,000 - 49,999|5000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
39670|Abel|Aaron|M|1953||107 North Sacramento Avenue|55857|Pune|52114|Maharashtra|52660|52771|335-101-4526|B: 30,000 - 49,999|1500|Aaron@company.example.com|Customer total|52772||01/01/1998||I
43226|Abel|Aaron|M|1980|single|117 West Genesee Avenue|59200|Diss|51390|England - Norfolk|52591|52789|602-520-2778|B: 30,000 - 49,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
25448|Abel|Aaron|M|1929|married|17 West McHenry Court|87901|Petaling Jaya|52109|Selangor|52738|52769|325-520-9067|B: 30,000 - 49,999|7000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
47004|Abel|Aaron|M|1939||27 East Boyd Boulevard|55406|Hoofddorp|51669|Noord-Holland|52683|52770|416-509-5527|B: 30,000 - 49,999|1500|Aaron@company.example.com|Customer total|52772||01/01/1998||I
50559|Abel|Aaron|M|1970|single|27 South Pacific Boulevard|37842|Stockport|52327|England - Greater Manchester|52590|52789|540-233-7525|B: 30,000 - 49,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
4115|Abel|Aaron|M|1968|married|37 North Corson Street|78247|Velp|52438|Gelderland|52610|52770|623-667-6791|B: 30,000 - 49,999|5000|Aaron@company.example.com|Customer total|52772||01/01/1998||A
7671|Abel|Aaron|M|1928||47 East Sacramento Road|90285|Hyderabad|51673|Andhra Pradesh|52547|52771|536-469-7806|B: 30,000 - 49,999|1500|Aaron@company.example.com|Customer total|52772||01/01/1998||I
11226|Abel|Aaron|M|1942|single|57  Genesee Drive|45142|Delhi|51384|Delhi|52578|52771|499-104-5506|B: 30,000 - 49,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
14782|Abel|Aaron|M|1960|married|57 North Tioga Drive|70337|Arnemuiden|51070|Zeeland|52770|52770|398-101-5334|B: 30,000 - 49,999|5000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
18337|Abel|Aaron|M|1945||67 West Juniata Avenue|38878|Hilversum|51662|Noord-Holland|52683|52770|694-520-6052|B: 30,000 - 49,999|1500|Aaron@company.example.com|Customer total|52772||01/01/1998||I
21892|Abel|Aaron|M|1966|single|77  Zapata Avenue|61905|Veldhoven|52437|Noord-Brabant|52682|52770|495-509-2740|B: 30,000 - 49,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
25449|Abel|Aaron|M|1948|married|77 South McHenry Avenue|79570|Dun Laoghaire|51401|Dublin|52580|52772|237-233-7990|B: 30,000 - 49,999|5000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
29004|Abel|Aaron|M|1969||87 North Boyd Avenue|85268|Wellington|52503|Wellington|52766|52785|424-667-5127|B: 30,000 - 49,999|1500|Aaron@company.example.com|Customer total|52772||01/01/1998||I
32559|Abel|Aaron|M|1962|single|97 East Pacific Avenue|68404|Wekerom|52502|Gelderland|52610|52770|507-469-8894|B: 30,000 - 49,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
37004|Abel|Embrey|M|1926||107 East Boyd Avenue|33529|Londrina|51804|Parana|52698|52775|185-520-5285|B: 30,000 - 49,999|1500|Embrey@company.example.com|Customer total|52772||01/01/1998||I
40559|Abel|Embrey|M|1932|single|107 South Pacific Avenue|69987|Blumenau|51201|Santa Catarina|52734|52775|489-509-3814|B: 30,000 - 49,999|3000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
44114|Abel|Embrey|M|1946|married|117 North Corson Avenue|81052|Delft|51383|Zuid-Holland|52771|52770|555-233-8158|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
34337|Abel|Embrey|M|1959||17 North Juniata Court|77287|Kuala Lumpur|51739|Kuala Lumpur|52639|52769|493-233-8071|B: 30,000 - 49,999|1500|Embrey@company.example.com|Customer total|52772||01/01/1998||I
47893|Abel|Embrey|M|1922|single|27 East Zapata Boulevard|78769|Wroclaw|52517|Wroclaw|52767|52786|175-667-5441|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
1449|Abel|Embrey|M|1972|married|37  McHenry Street|90285|Hyderabad|51673|Andhra Pradesh|52547|52771|131-469-9161|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
5004|Abel|Embrey|M|1934||37 South Boyd Street|54930|Shah Alam|52307|Selangor|52738|52769|367-104-7648|B: 30,000 - 49,999|1500|Embrey@company.example.com|Customer total|52772||01/01/1998||A
8559|Abel|Embrey|M|1940|single|47 West Pacific Road|68054|Krakow|51737|Krakow|52638|52786|305-101-2637|B: 30,000 - 49,999|3000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
12116|Abel|Embrey|M|1931|married|57 East Corson Drive|74903|Arnhem|51071|Gelderland|52610|52770|401-520-6150|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
15671|Abel|Embrey|M|1973||57 South Sacramento Drive|31246|Tijnje|52368|Friesland|52600|52770|628-509-4754|B: 30,000 - 49,999|1500|Embrey@company.example.com|Customer total|52772||01/01/1998||I
19226|Abel|Embrey|M|1944|single|67 North Genesee Avenue|46981|Den Haag The Hague|51385|Zuid-Holland|52771|52770|339-233-1774|B: 30,000 - 49,999|3000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
48781|Abel|Embrey|M|1971|married|7 South Tioga Circle|51527|Altrincham|51061|England - Greater Manchester|52590|52789|300-509-2752|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
22781|Abel|Embrey|M|1941|married|77 East Tioga Avenue|44792|Edam|51441|Noord-Holland|52683|52770|575-667-3134|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
26337|Abel|Embrey|M|1938||87  Juniata Avenue|53123|Alphen aan den Rijn|51059|Zuid-Holland|52771|52770|346-469-2772|B: 30,000 - 49,999|1500|Embrey@company.example.com|Customer total|52772||01/01/1998||I
29893|Abel|Embrey|M|1958|single|87 North Zapata Avenue|40125|Katowice|51720|Katowice|52635|52786|136-104-9447|B: 30,000 - 49,999|3000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
33448|Abel|Embrey|M|1964|married|97 West Mchenry Avenue|55857|Pune|52114|Maharashtra|52660|52771|611-101-8908|B: 30,000 - 49,999|5000|Embrey@company.example.com|Customer total|52772||01/01/1998||I
37893|Abel|Vance|M|1954|single|107 East Zapata Avenue|51291|Geleen|51577|Limburg|52646|52770|472-233-3035|B: 30,000 - 49,999|3000|Vance@company.example.com|Customer total|52772||01/01/1998||I
41448|Abel|Vance|M|1949|married|117 McHenry Avenue|32099|Clifden|51331|Galway|52608|52772|533-667-3664|B: 30,000 - 49,999|5000|Vance@company.example.com|Customer total|52772||01/01/1998||I
45003|Abel|Vance|M|1955||117 South Boyd Avenue|44341|Redbridge|52160|England - Greater London|52589|52789|224-469-4640|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
7670|Abel|Vance|M|1965||17 Sacramento Court|41616|Ruinen|52177|Drenthe|52579|52770|113-667-4744|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
43225|Abel|Vance|M|1956|single|17 South Genesee Court|38293|Zaandam|52527|Noord-Holland|52683|52770|213-469-2022|B: 30,000 - 49,999|3000|Vance@company.example.com|Customer total|52772||01/01/1998||I
48782|Abel|Vance|M|1967|married|27 West Tioga Boulevard|54930|Shah Alam|52307|Selangor|52738|52769|485-104-3780|B: 30,000 - 49,999|5000|Vance@company.example.com|Customer total|52772||01/01/1998||I
2338|Abel|Vance|M|1961||37 East Juniata Street|42058|Niteroi|51984|Rio de Janeiro|52713|52775|193-101-9192|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
5893|Abel|Vance|M|1978|single|37 South Zapata Street|40576|Wageningen|52492|Gelderland|52610|52770|490-520-2691|B: 30,000 - 49,999|3000|Vance@company.example.com|Customer total|52772||01/01/1998||I
9448|Abel|Vance|M|1947|married|47 North McHenry Road|89484|Bristol|51219|England - Avon|52588|52789|123-509-2107|B: 30,000 - 49,999|5000|Vance@company.example.com|Customer total|52772||01/01/1998||I
13004|Abel|Vance|M|1950||57 West Boyd Drive|34077|Schimmert|52297|Limburg|52646|52770|303-233-6427|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
16560|Abel|Vance|M|1935|single|67 Pacific Avenue|53574|Almere|51057|Flevopolder|52599|52770|562-667-8611|B: 30,000 - 49,999|3000|Vance@company.example.com|Customer total|52772||01/01/1998||I
20115|Abel|Vance|M|1937|married|67 South Corson Avenue|63488|Sydney|52334|New South Wales|52680|52774|296-469-9294|B: 30,000 - 49,999|5000|Vance@company.example.com|Customer total|52772||01/01/1998||I
23671|Abel|Vance|M|1937||77 West Sacramento Avenue|72620|Enkhuizen|51452|Noord-Holland|52683|52770|655-104-6876|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
27226|Abel|Vance|M|1933|single|87 East Genesee Avenue|76836|Amersfoort|51062|Utrecht|52750|52770|482-101-8372|B: 30,000 - 49,999|3000|Vance@company.example.com|Customer total|52772||01/01/1998||I
30781|Abel|Vance|M|1977|married|87 South Tioga Avenue|37400|Yokohama|52526|Kanagawa|52634|52782|197-520-7884|B: 30,000 - 49,999|5000|Vance@company.example.com|Customer total|52772||01/01/1998||A
34338|Abel|Vance|M|1952||97 North Juniata Avenue|69987|Blumenau|51201|Santa Catarina|52734|52775|447-509-8701|B: 30,000 - 49,999|1500|Vance@company.example.com|Customer total|52772||01/01/1998||I
38782|Abel|Walsh|M|1924|married|107 West Tioga Avenue|41579|Enschede|51453|Overijssel|52692|52770|597-469-7628|B: 30,000 - 49,999|7000|Walsh@company.example.com|Customer total|52772||01/01/1998||I
42337|Abel|Walsh|M|1963||117 East Juniata Avenue|49682|Waddinxveen|52490|Zuid-Holland|52771|52770|582-104-6232|B: 30,000 - 49,999|1500|Walsh@company.example.com|Customer total|52772||01/01/1998||I
16559|Abel|Walsh|M|1925|single|17 East Pacific Court|39245|Brisbane|51218|Queensland|52703|52774|153-104-3047|B: 30,000 - 49,999|5000|Walsh@company.example.com|Customer total|52772||01/01/1998||I
46115|Abel|Walsh|M|1974|married|27 Corson Boulevard|62356|Limerick|51797|Limerick|52647|52772|227-101-3184|B: 30,000 - 49,999|5000|Walsh@company.example.com|Customer total|52772||01/01/1998||I
49670|Abel|Walsh|M|1975||27 North Sacramento Boulevard|60332|Ede|51442|Gelderland|52610|52770|474-520-3415|B: 30,000 - 49,999|1500|Walsh@company.example.com|Customer total|52772||01/01/1998||I
3227|Abel|Walsh|M|1930|single|37 West Genesee Street|55406|Hoofddorp|51669|Noord-Holland|52683|52770|595-509-8558|B: 30,000 - 49,999|3000|Walsh@company.example.com|Customer total|52772||01/01/1998||A
